,date,cluster,keyword_sum
583,2023-01-18,automotive,16843
584,2023-01-18,beauty & personal care,28180
585,2023-01-18,construction,262345
586,2023-01-18,consulting,44967
587,2023-01-18,e-commerce & retail trade,5554
588,2023-01-18,education,348793
589,2023-01-18,energy,119979
590,2023-01-18,engineering & architecture,885
591,2023-01-18,entertainment & recreation,9552
592,2023-01-18,event organization,64403
593,2023-01-18,fashion,199351
594,2023-01-18,finance,189520
595,2023-01-18,food & beverages,23714
596,2023-01-18,health care and social assistance,17562
597,2023-01-18,home care & home services,22742
598,2023-01-18,human resources,31858
599,2023-01-18,information technology,77449
600,2023-01-18,insurance,95685
601,2023-01-18,legal,395360
602,2023-01-18,manufacturing,130404
603,2023-01-18,media & social networks,27933
604,2023-01-18,non-profit organizations,7319
605,2023-01-18,public administration,66696
606,2023-01-18,real estate & leasing,10608
607,2023-01-18,sports & activities,36679
608,2023-01-18,telecommunications,50425
609,2023-01-18,transportation,49825
610,2023-01-18,video & photography,34823
611,2023-01-18,"warehousing, storage & delivery",14673
612,2023-01-19,accommodation,103265
613,2023-01-19,"advertising, marketing & research",5793
614,2023-01-19,"agriculture, farm animals & forestry",1281
615,2023-01-19,animal care & products for animals,5934
616,2023-01-19,arts & design,7968
617,2023-01-19,automotive,17709
618,2023-01-19,beauty & personal care,25707
619,2023-01-19,construction,255885
620,2023-01-19,consulting,44609
621,2023-01-19,e-commerce & retail trade,4325
622,2023-01-19,education,343727
623,2023-01-19,energy,120388
624,2023-01-19,engineering & architecture,855
625,2023-01-19,entertainment & recreation,8625
626,2023-01-19,event organization,58832
627,2023-01-19,fashion,187300
628,2023-01-19,finance,209111
629,2023-01-19,food & beverages,22864
630,2023-01-19,health care and social assistance,18900
631,2023-01-19,home care & home services,24842
632,2023-01-19,human resources,30032
633,2023-01-19,information technology,73294
634,2023-01-19,insurance,109796
635,2023-01-19,legal,396393
636,2023-01-19,manufacturing,126664
637,2023-01-19,media & social networks,25116
638,2023-01-19,non-profit organizations,6359
639,2023-01-19,public administration,59858
640,2023-01-19,real estate & leasing,10852
641,2023-01-19,sports & activities,35584
642,2023-01-19,telecommunications,50391
643,2023-01-19,transportation,46729
644,2023-01-19,video & photography,32191
645,2023-01-19,"warehousing, storage & delivery",13200
646,2023-01-20,accommodation,82737
647,2023-01-20,"advertising, marketing & research",4536
648,2023-01-20,"agriculture, farm animals & forestry",977
649,2023-01-20,animal care & products for animals,5627
650,2023-01-20,arts & design,6347
651,2023-01-20,automotive,12313
652,2023-01-20,beauty & personal care,20635
653,2023-01-20,construction,242536
654,2023-01-20,consulting,38627
655,2023-01-20,e-commerce & retail trade,3658
656,2023-01-20,education,316015
657,2023-01-20,energy,102692
658,2023-01-20,engineering & architecture,429
659,2023-01-20,entertainment & recreation,7903
660,2023-01-20,event organization,51267
661,2023-01-20,fashion,151610
